"gene","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"ATP1B2","m = 0.00080 
 p = 0.28751","m = 0.00031 
 p = 0.11064","m = 0.00182 
 p = 0.48749","m = 0.00063 
 p = 0.20608","m = 0.00040 
 p = 0.07722","m = 0.02106 
 p = 4.49935","m = 0.00067 
 p = 0.37843","m = 0.01031 
 p = 2.25008","m = 0.00040 
 p = 0.23633","m = 0.00039 
 p = 0.11667","m = 0.00024 
 p = 0.04815","m = 0.00000 
 p = 0.00000"
"CAMK2B","m = 0.16998 
 p = 46.87765","m = 0.12346 
 p = 36.35258","m = 0.00255 
 p = 0.92282","m = 0.00145 
 p = 0.44637","m = 0.00245 
 p = 0.46332","m = 0.00126 
 p = 0.33081","m = 0.00783 
 p = 3.59508","m = 0.00749 
 p = 2.26518","m = 0.00632 
 p = 2.66268","m = 0.00382 
 p = 1.25423","m = 0.00096 
 p = 0.28489","m = 0.00152 
 p = 0.21587"
"CACNG4","m = 0.00179 
 p = 0.64908","m = 0.00134 
 p = 0.46091","m = 0.00107 
 p = 0.26077","m = 0.00037 
 p = 0.07376","m = 0.00179 
 p = 0.23166","m = 0.00110 
 p = 0.19409","m = 0.01396 
 p = 3.87890","m = 0.00109 
 p = 0.21142","m = 0.00164 
 p = 0.72475","m = 0.00066 
 p = 0.15751","m = 0.00055 
 p = 0.11235","m = 0.00199 
 p = 0.26983"
"CACNA1D","m = 0.12029 
 p = 32.42360","m = 0.01598 
 p = 5.37780","m = 0.00869 
 p = 2.32371","m = 0.00278 
 p = 0.62963","m = 0.01670 
 p = 2.93436","m = 0.01019 
 p = 1.82708","m = 0.01325 
 p = 4.44655","m = 0.01567 
 p = 3.95651","m = 0.01344 
 p = 5.67197","m = 0.00829 
 p = 2.12927","m = 0.00295 
 p = 0.62595","m = 0.01586 
 p = 2.21263"
"TNNI3","m = 0.40600 
 p = 73.90386","m = 0.53360 
 p = 83.06172","m = 0.02802 
 p = 5.74771","m = 0.01876 
 p = 3.35196","m = 0.02865 
 p = 6.79537","m = 0.01226 
 p = 2.14737","m = 0.03756 
 p = 9.83917","m = 0.04454 
 p = 8.65297","m = 0.02382 
 p = 6.38097","m = 0.02904 
 p = 5.90752","m = 0.00925 
 p = 1.59698","m = 0.00734 
 p = 1.07933"
"SCN5A","m = 0.21534 
 p = 51.82200","m = 0.22851 
 p = 54.11305","m = 0.00323 
 p = 0.98222","m = 0.00166 
 p = 0.46386","m = 0.00811 
 p = 2.31660","m = 0.00185 
 p = 0.45414","m = 0.01627 
 p = 5.20341","m = 0.01717 
 p = 4.28873","m = 0.00705 
 p = 2.64692","m = 0.00426 
 p = 1.20756","m = 0.00150 
 p = 0.37718","m = 0.00192 
 p = 0.26983"
"PPP2R1B","m = 0.03276 
 p = 13.10579","m = 0.02033 
 p = 7.68497","m = 0.03500 
 p = 8.93557","m = 0.02383 
 p = 5.84769","m = 0.03997 
 p = 9.57529","m = 0.02882 
 p = 5.41814","m = 0.02342 
 p = 9.36613","m = 0.02381 
 p = 5.57233","m = 0.22346 
 p = 52.68631","m = 0.01655 
 p = 4.88080","m = 0.01668 
 p = 3.47083","m = 0.01276 
 p = 1.99676"
"ACTC1","m = 0.62092 
 p = 82.27440","m = 0.46842 
 p = 74.79629","m = 0.02740 
 p = 5.57821","m = 0.01820 
 p = 3.18239","m = 0.01836 
 p = 4.63320","m = 0.01531 
 p = 2.76405","m = 0.09098 
 p = 18.25922","m = 0.05368 
 p = 9.27212","m = 0.03341 
 p = 7.97227","m = 0.02887 
 p = 5.59056","m = 0.00930 
 p = 1.66118","m = 0.00688 
 p = 1.02536"
"PLN","m = 0.41035 
 p = 72.61223","m = 0.46111 
 p = 77.51193","m = 0.01354 
 p = 3.06110","m = 0.00809 
 p = 1.63644","m = 0.00791 
 p = 2.39382","m = 0.04550 
 p = 8.33995","m = 0.04755 
 p = 12.10974","m = 0.03024 
 p = 6.28209","m = 0.02057 
 p = 5.62470","m = 0.01563 
 p = 3.17738","m = 0.00489 
 p = 0.98708","m = 0.00301 
 p = 0.53967"
"TNNT2","m = 0.78661 
 p = 96.07719","m = 0.81660 
 p = 97.18368","m = 0.02944 
 p = 5.62964","m = 0.01916 
 p = 3.31622","m = 0.02206 
 p = 5.55985","m = 0.01349 
 p = 2.25350","m = 0.06129 
 p = 13.62346","m = 0.05888 
 p = 9.71006","m = 0.03926 
 p = 8.57098","m = 0.03253 
 p = 5.67417","m = 0.01165 
 p = 1.82971","m = 0.00589 
 p = 0.91743"
