,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
LAMC1,0.73042583,0.09156347582889718,0.09508615365629586,1.1125150480160204,0.06802752954140122,0.30172462242450493,0.09338470681891033,0.08075160318201402,0.36220553070891837,0.9141779658699368,0.009290232315033063,0.00021642532781688468,0.0005914298018377276
LAMC2,0.8159094,0.00010769639879634526,8.405397653112464e-05,0.004180735619496178,5.8072100947890955e-06,0.0010547164554301376,1.7484692756247255e-05,0.00904901967143381,0.00013840556475501234,0.0018324347881138632,6.263552752644321e-06,5.24696981509399e-07,1.1311949537820709e-05
ITGA6,0.8809934,0.00721278169983362,0.009083100658152914,0.00018612865456678291,0.5823168825937322,0.09053137647599327,9.777135894497621e-05,0.018231656476361862,0.05275787507180756,0.0433499245206371,0.002168544167927635,0.013316579115241539,0.0003473380046780535
ITGAV,0.5360553,0.2243255039227946,0.37596081139551163,0.10508256446775102,0.051728564676216476,0.13019022172942585,0.009303978759505754,0.07353590224414021,0.1326844884491658,0.17167677713300705,0.05883380137559242,0.004511877386774319,0.011968365470847115
FN1,0.8259087,0.0006804754090761978,0.000287882834329133,0.6803648262573797,0.053249476356273556,0.10800390505882763,0.1098714336168345,0.10514634884294745,0.058092630353264854,0.047677957647256596,0.010895089469411078,0.00013829122063756976,0.0007704107449689043
LAMB2,0.70375353,0.015789403342364082,0.016444042653656423,0.021620255390066175,0.07572082121432687,0.10380746986875203,0.01462929908528085,0.009065081452635402,0.0080328588487878,0.010304658013252605,0.0014772727394152222,2.3675048776881554e-05,3.468575779322477e-05
DAG1,0.7651094,0.03838912840574855,0.06679138469243485,0.011206883685763521,0.004962808862235046,0.013612252796018447,0.004531986875731827,0.013793287983793296,0.1297870753431421,0.0318586287891769,0.004003202576781777,0.0008941020321194524,0.0009465535275368707
ITGB5,0.53006816,0.027069463936425345,0.038715133393956595,0.07705112207087425,0.03186158490953308,0.001587890151844982,0.012225580734550705,0.035305586871721896,0.005237607853006143,0.11139044470349052,0.08095455315716416,0.00012648515071429596,0.000545873594682923
LAMA2,0.7438373,2.47603553076435,3.249602310879155,3.4524912154945233,0.0041033704343016505,0.02097178039403496,0.06116761461269441,0.10876097877632365,0.873719559861468,0.5047439086412809,0.00937139872853167,0.000450311406661205,0.007362457115908797
LAMB1,0.70256704,0.005022543839241601,0.013906209758941869,0.6426536610287882,0.02947530057089333,0.07931762033908063,0.07981218926643965,0.26653180848683744,0.41693853030425115,0.5810199441995436,0.00120089555191302,0.00010003411484543368,0.00016473367995207077
LAMC3,0.7178411,0.00021155030940259742,8.137382429801614e-05,0.0010876377876037784,6.257139328619468e-06,7.424061132674051e-05,0.00011193236212538794,0.00018932676698762285,9.230526214242163e-05,0.0008705208377071266,1.12292871510269e-05,3.940568602041585e-06,8.039560502709662e-05
ITGB1,0.43405494,0.36868906693619435,0.2884259919841203,0.24415611669511325,0.544425899326781,0.4525738999650285,0.540919662407493,0.20103122382763994,0.20626323886848008,0.38474964671986145,0.1716196539509752,0.1358267757370464,0.007392135653313082
ITGA5,0.6453501,0.01639931207478406,0.011150871967426739,0.10543741345219927,0.0671703169606112,0.10695075652774237,0.0006578861500626546,0.019981705025895767,0.00421561109483224,0.015494619971732558,0.026343358544491463,0.003906162362852159,0.0007121797250980824
THBS1,0.8550045,0.016564229192217783,0.027512533210362896,0.18368953127495075,0.001193298399958301,0.009527520139244992,0.00547130274290874,0.026509745316112956,0.01834278098273515,0.07313464086826194,0.6095223510640414,0.00114873697328468,0.002956447468470446
ITGB3,0.621512,0.00995210091790565,3.002172745313025e-05,0.0036181089831540097,0.000466727899208091,0.005933839842159315,0.0003434695180846334,0.0027827434277015693,0.00021128455467794423,0.0020164511728065116,0.00041433929144838924,5.197679814471138e-06,0.0002539172945508942
ITGB4,0.93650717,6.799770815750367e-05,1.3732869276897727e-05,3.07850834047126e-05,0.004238187811237874,0.04746951249115255,6.833932805510172e-06,0.0021443717188731385,0.19614074605355916,0.00028730249928924745,5.117470395068154e-06,3.3733379967249418e-06,4.20435177462846e-05
LAMA1,0.81244624,0.0003091120834286815,0.00019921161599953814,0.0014036553974434145,1.893041055643995e-05,5.341616376486524e-05,0.00014448178136903096,0.008003653963726426,0.00023255897902472075,0.0010971939195624219,3.782301036192527e-05,2.1693245403515844e-05,0.00044430665876887257
LAMA3,0.67420894,0.002747765910996502,0.007581238211753027,0.002663750963845553,0.0012678333823966242,0.030939406294620175,0.039276484088278225,0.04536366767215638,0.021567805026348752,0.004317127256219136,9.756603606046116e-05,2.4493763757076325e-05,0.0002945102288860665
LAMA5,0.8194864,0.02354933926499933,0.016499133092169056,0.0003534693793468856,0.09155513289912898,0.0009314761486292806,0.011420677888067776,0.021106447971645348,0.002432612774821071,0.004029539409201408,0.00012266192208108158,4.367252309394011e-05,4.684019188461468e-05
