,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CALML6,0.9656900763511658,2.3951400478206035e-08,1.4233485314525555e-08,2.134346409691468e-07,3.5176239944922213e-09,0.0,7.5549956564597e-08,3.325103267995586e-07,0.0,4.285038701986842e-05,2.3090782478167474e-08,1.0401521457079522e-07,0.0
PIK3CD,0.7803353667259216,0.0005845970468239941,0.0003223803835687512,0.0005591700178900285,2.153568911142691e-05,0.0018240833173157165,0.0006247595395374025,0.010276814057450309,0.0005734856576582559,0.0013955008201576957,0.04159040046174945,0.05857504130691713,0.025084858914034083
EPHA2,0.7404186725616455,0.001835377641235283,0.0004286921443595915,0.00024350172304795397,0.013727637303790632,0.01772471107111014,0.005542483254096769,0.007290242918279786,0.00021501279364887662,0.00039344402571559915,1.119017556444583e-05,4.392701038807791e-06,2.2758573446477095e-06
CDC42,0.5190489292144775,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
PIK3R3,0.9269144535064697,0.037699275928582146,0.006733275140552602,0.00047409962369595547,0.36863849352423284,0.013311022393491734,0.0002265172845416517,0.00365136939478913,0.0006946021177907502,0.001342566954759945,0.0038756706449048356,0.0003470032985683391,0.0001399955600178441
GNG12,0.6602556705474854,0.013979891457627734,0.04207578210894509,0.12355906782706012,0.01484660966229264,0.29570652573265166,0.02236892900205644,0.12713675991814433,0.08721939890865688,0.1833023083516138,0.030155965347521477,4.593483657039444e-05,0.00017129558078739622
RAP1A,0.47126340866088867,0.25056351551895645,0.21423874002380355,0.13730441909236854,0.19130998493296977,0.2844170662427041,0.0927316260580823,0.09991617031331997,0.2078046179437018,0.20838873923923604,0.5928389783042438,0.23485750628172056,0.19176858499509478
NRAS,0.5268261432647705,0.000585898743998246,0.0004909280113472298,0.0019568684248297617,0.007232538404213077,0.007581813915355786,0.0006277839863093915,0.003593548342881613,0.0009498670894109171,0.003886672611079367,0.00915827807906127,0.0021861119843208047,0.0001536171855198906
NGF,0.8835049271583557,0.00016652065464983225,0.001442423136575203,0.10353675190379458,0.00033316863066551553,0.00034181095630966097,0.45889631884654225,0.048597512542919497,0.02996668517049509,0.06858476333887123,3.765986596704241e-05,6.600921843091803e-06,0.00047018584436940553
SHC1,0.8707960247993469,0.002182843636867671,0.00031687399401466145,0.005168961613797204,0.016648235062035194,0.15854114040904982,0.001513230621603305,0.009723516341471514,0.0010526862357748993,0.017006163176766002,0.0034790019573290227,0.0012667284722829857,6.643928088854921e-05
NTRK1,0.8936392068862915,1.7185112355679692e-06,2.008221010567101e-06,0.004683132418222383,8.525322067658714e-07,1.7086283077259321e-06,0.00018380003769842944,0.0001743449816302297,8.491419435190997e-05,0.0008445271046232648,6.267740285975979e-06,1.2818609566350263e-05,0.0001746466110927378
SOS1,0.6322723031044006,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
RAF1,0.4998635947704315,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
RHOA,0.5744078755378723,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
MRAS,0.7569326758384705,0.25505304797951234,0.25429913945018284,0.00439979654376343,0.001968415771517517,0.006052842793777643,0.0005731666495626994,0.007520258793203811,0.0036342086203506583,0.30212080434530536,0.006787215831056015,4.2204233824407954e-05,0.0002277600028613935
PIK3CB,0.3806212544441223,0.1364336877192106,0.11967782792391334,0.027882794346827004,0.02810412898117506,0.0390653116822703,0.005705877561546556,0.03397641524799387,0.02201572732509929,0.16422496965894257,0.11681343826637318,0.016492345954736448,0.06710256297589634
PIK3CA,0.44200074672698975,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
FGFR3,0.8597818613052368,1.4847248964425006e-07,2.7607856029742766e-08,1.6745130375757848e-05,0.0005493260650080712,0.00022349412837083734,3.2379351432068975e-05,2.8478508584321166e-05,1.0124158985604516e-05,6.776155291466482e-06,4.629947785829946e-07,1.7333572038936869e-07,0.0
PDGFRA,0.9581100940704346,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KIT,0.9973421692848206,5.458999556703279e-06,3.578298611696422e-06,6.207129508049134e-06,0.00016893096292822503,2.8982869993075443e-05,2.622651233202769e-06,0.00011753128504939202,3.3672923127673646e-05,1.4331518995662328e-05,1.3973535024151522e-05,0.00012035428156007324,2.032974418150176
KDR,0.8447801470756531,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
NFKB1,0.37063801288604736,0.07259487528760043,0.06281069492726188,0.15160478378153042,0.041961358342396074,0.14792621651211302,0.021530886729298825,0.1873237875800372,0.04972602839701776,0.1598114405858605,0.1694919076040709,0.05593102576309601,0.049543090916554865
EGF,0.9137204885482788,0.15518706697216095,0.0823188168733373,3.927992533037402e-05,1.438309071217058e-05,1.7839385390741946e-05,5.7391632214485915e-06,0.0005791636823536432,0.0003699795178432221,0.0004409476662735799,0.00012150063581365699,8.759351820770098e-06,4.688843369033616e-05
FGF2,0.7400587201118469,0.0003579911907113205,0.0005501758960331032,0.029456209830845598,0.0337310700822269,0.0003996811433188243,0.0014008802528643171,0.03953663037707474,0.07912833490010944,0.08551240268797129,9.638110003829099e-05,1.0302225428266947e-05,0.0001048843360757802
PIK3R1,0.46614664793014526,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
RASA1,0.3623479902744293,0.22329798886782773,0.20277386049964025,0.19558613396430066,0.046323647550211074,0.16751267127548866,0.07533792232815852,0.06286763733247597,0.13643355745449773,0.4438390731060244,0.24388520828795693,0.13222332150353902,0.167663749655195
CSF1R,0.9709072709083557,5.487260823312614e-06,3.5394166621285936e-06,0.0002642753536278912,5.1920239182156454e-06,0.000914548446773102,0.002904962173822297,0.00029302152823533446,9.873790547760257e-05,0.00022199369259137553,0.22105872630957094,5.203062167243048e-05,4.432191172613688e-05
PDGFRB,0.9471091628074646,8.74043350071231e-05,8.015134645534434e-05,0.24415633741989243,0.00033914011761714403,0.0005572153967319769,1.6738957176986442,0.0027272418183657845,0.026544000491009342,0.0262096243823478,0.00015631486884375989,0.000494560588908472,0.00020177669207984154
FGFR4,0.8685804009437561,7.04217528142263e-07,1.076075269565573e-07,0.00014916158516939095,3.2182833135427163e-07,1.1916093988538248e-05,3.489904127852699e-05,8.119418010002842e-08,6.660878122734973e-06,7.112323159326413e-06,1.3366020216137472e-07,3.841271480171258e-07,2.4070062097091643e-06
RAC1,0.6854108572006226,0.02969000503725597,0.02921826995264208,0.0960699204641105,0.7956355194225815,0.29931239179662755,0.12898443173593083,0.23719775490639,0.09982321144266455,0.0905370282266616,0.3879713352792939,0.0683292451354763,0.014449721918965569
EGFR,0.7670602202415466,0.07782732797952731,4.7545034788417284e-05,0.5941825359527612,0.029152239076737953,0.001211238865341459,0.07635400066237322,0.24354588274924172,0.014632456193640671,0.6867594407715534,0.0006194442483222606,3.456710276117907e-05,0.00010939396835393153
MET,0.8924693465232849,0.023756761493753695,0.014492340418261815,0.0001166737702197579,0.00695991257987391,0.009807140037820147,6.690585763476172e-06,0.22265162282996057,0.0008735859407124941,0.007439654750703395,0.0016704357427984276,1.1124222851550058e-05,5.1740016154965e-05
FGFR1,0.6165794730186462,0.153926378959681,0.17378359803161564,0.3365691388423153,0.06555407522413732,0.05719921782210067,0.006489040750315328,0.11645086610102946,0.03382065481773787,0.37916397888753967,0.032245822597684916,0.001412616526812193,0.006235777849258118
TEK,0.9269998669624329,2.3534127011110056e-05,8.509231361227813e-06,0.00018296028610128253,0.23942268348901402,0.09240095173530137,3.8940179513383105e-05,0.0018151741203488103,0.00029634472238120984,0.0008843923129912566,6.286881503900097e-05,1.2767920535885592e-05,7.965157881049419e-05
NTRK2,0.8254424929618835,0.06184042527668306,6.692216556633933e-05,0.014319905664491565,0.0021326747358871917,0.0005860456168421446,0.008745301570604594,0.006084837942836187,0.0017123605928835786,0.13884663600630134,3.3073895421619894e-05,9.382868734373058e-06,0.00016380762867327967
HRAS,0.653807520866394,0.000487851624127095,0.0007085249505366321,0.0008618577958321193,0.012328172992569454,0.009292221259196293,0.003270699683638333,0.005265849639812277,0.001564083510643584,0.0009027888635368596,0.0015146284409547424,0.0013642708668762567,7.07504650627158e-05
INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRAS2,0.6500044465065002,0.1288373607455112,0.09809825382499701,0.024037878148014606,0.004358813376076516,0.02473122775554657,0.0025237483565706794,0.2892214871851363,0.05086322897458429,0.26756414930257383,0.003495874431808479,0.029562298877239608,0.006904634378178983
BDNF,0.967547595500946,0.00012876700456321432,0.04233389095618175,3.860918439705876e-05,1.8684388008788055e-06,3.3524259565304606e-07,8.43203106395507e-06,0.00033900947393734947,8.744006957920682e-05,0.0003789110701723101,1.8290390344149374e-05,4.657854147592643e-06,1.0962746293558923e-05
PAK1,0.781140148639679,0.028583096572079525,0.0017969258038178543,0.015996608861258366,3.8569106360514495e-05,0.0011764802527703833,0.00395774466118973,0.021074137235432156,0.005188022552570596,0.026765016903177816,0.05214849194159785,0.002167079579475249,0.10605712121586766
CALML5,0.9456794857978821,0.0,0.0,4.5496735433121954e-11,2.8539520825387857e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALML3,1.0,0.0,0.0,0.0,1.544686410103238e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK8,0.39591798186302185,0.2942038892294923,0.2128034490364724,0.09728388179087259,0.03640476172742977,0.07618080285525229,0.043578856803522616,0.0881313154352309,0.07998497581165098,0.24187927905717235,0.08078790384167314,0.039137068398977855,0.06021244662295659
FGFR2,0.8314580917358398,0.004054618859108801,2.8555263616162235e-05,0.000820824439919313,1.5475902748027004e-05,5.596427958904546e-05,1.2143410754891287e-05,0.01560860877907716,0.00018035505027168465,0.00786774458660936,5.7495541059847536e-06,1.3076778428476422e-05,0.0003808151490290745
KRAS,0.501013994216919,0.010065461726774541,0.010023004913153805,0.014965668136192494,0.07067003939877961,0.05505302845281063,0.006726808432625798,0.02978444279875525,0.010938068115433982,0.021553050345729914,0.057984769031389806,0.03580944551724931,0.006057737504734712
IGF1,0.9027785658836365,0.0002320531930708158,1.154705678139615e-05,0.15714123087969656,9.019732912100475e-06,0.10443497776524902,3.7412057520634476e-05,0.004783410406270564,0.0025752042196589774,0.8111754359270393,0.02089510429504941,9.905768400085804e-05,9.71522739109836e-05
PTPN11,0.49692705273628235,0.09307449297889285,0.08322821527814822,0.04190518973656097,0.02240979358293834,0.04290449862084334,0.018663888534399445,0.05020284198767301,0.03212173441967839,0.17927935372492787,0.03889888813609406,0.012758147527223297,0.009810676043315378
FLT3,0.6011865139007568,0.0006092504186264891,0.0009128080117318684,0.00020796993618437,1.5932905447808946e-05,0.00018151742496085442,7.603818925272233e-05,0.0007442309641849351,9.419617016117079e-05,0.0032014994005603228,0.0017446946571923164,0.0005094770363935373,0.00032227878502524355
FLT1,0.9481527805328369,0.0003632996633373965,0.00010722767397394892,0.0007163963227290858,1.3280618516099185,0.004748192556116112,0.12317228142195995,0.0048891283437792945,0.002281385812288467,0.0042936650245832386,0.0069768634821344684,0.00019803913109122287,0.0006496743638323759
SOS2,0.3377031981945038,0.31004941342342335,0.29647995762229684,0.12827602237250363,0.033823608460342394,0.12396855032121813,0.07921818914746986,0.1187178466606501,0.1197939212860135,0.37451954437876117,0.14423252571627285,0.05186325523560756,0.12878331633689785
AKT1,0.5314603447914124,0.0033987941221741555,0.003965282720534592,0.003804748199111346,0.013851748408076835,0.008593199934278217,0.003513315214902023,0.0052732902252121475,0.0030792406584355305,0.03042084287616687,0.012563754370771396,0.004022664192072338,0.0009642158827457436
MAP2K1,0.689573347568512,0.05267062561627435,0.040614507150014946,0.03430704798808866,0.016545177470558538,0.027664744600826248,0.012109334126456626,0.03683766172872811,0.01326692482381744,0.2334841095557903,0.3259075883701627,0.05449433601425851,0.01631607186839314
CALML4,0.7498009204864502,0.0001438473575473616,3.2020909743949324e-05,0.0005378550434131113,5.317518850101871e-05,0.0007425200683154656,8.697580940973073e-06,0.00047504561605212143,7.289375156857247e-05,0.00035753801326517316,0.002401073944732406,5.263223340971762e-05,8.323791055375669e-05
IGF1R,0.6338042616844177,0.9668767538964091,0.8194254634970543,0.31728666787223336,0.047442296261452195,0.2246006625039237,0.03323429294564727,0.20336024695787094,0.24767524394626095,0.10939745308001698,0.04779755159049423,0.011887167938500249,0.01612392410483157
PRKCB,0.8803552389144897,0.00017820560369491366,8.91072855199004e-05,0.0002642458850313937,0.001825973607619848,0.012745979474318072,8.510322458045864e-05,0.002597974357789941,0.0003754262646760907,0.00159001800818426,0.2109284133063274,0.2545809006267179,0.6539256199591236
MAPK3,0.8076806664466858,0.00013235338492805147,4.4365286663784866e-05,0.004785876978976824,0.0760014229729839,0.022656318948075578,0.0051008765875598504,0.026985967226939713,0.0020058545849630026,0.0017390272993731166,0.0036126601022266106,0.0006812195422231132,6.612330470063272e-05
PLCG2,0.5145211815834045,0.410552379332569,0.1465112083041107,0.3291766680671565,0.15020444214486797,0.7679462242310572,0.019776022061937102,0.09423711052906321,0.1677758059304346,0.4753365260476256,0.34869355441637245,0.15403036923519864,0.27236757333768874
NF1,0.2700834572315216,0.6243946240770905,0.6253191185581385,0.4561629835532,0.09930828601379121,0.40737466775312386,0.2652354480470453,0.2834095802077056,0.2965062136863949,0.6179891868108687,0.3309381497447319,0.053951493999317264,0.09409786750352904
NGFR,0.9330421090126038,4.155964710536304e-06,2.2682833778458756e-07,0.008229266331752005,8.852560563072234e-06,1.0055392031273786e-05,0.005846672233004951,0.00017256333246869418,0.06678395909382404,0.0009339854866031476,4.637643165487404e-06,6.032966605881877e-06,1.1123891736903965e-05
PRKCA,0.7733688354492188,0.06769127089369001,0.0940995557814138,0.14647711386291512,0.0041581218086092706,0.07277694022333299,0.027344925038329675,0.19166030399959497,0.8198411060726127,0.16230557556788675,0.08667895039312064,0.09115329036340698,1.417286759122796
GRB2,0.7353225946426392,0.07671934170188181,0.030520566563230336,0.03927633284071795,0.03314133832109849,0.06029121783709434,0.019646615775699237,0.047458286627126166,0.027079198299056275,0.16499706365112923,0.6257244217508441,0.0727757869639449,0.1172010731645616
PLCG1,0.46010226011276245,0.006169028655974971,0.0070472486136274794,0.010699035390336686,0.02027313776430687,0.01875265003631474,0.006554628771209501,0.003745730028839301,0.007004394862891972,0.017983773427721797,0.0003549855975224471,0.004246561284356454,0.004509062363016753
INSR,0.5956069231033325,0.5193659292026412,0.7564078808343377,0.1387828750675286,0.08583514041934356,0.0769191021854813,0.09422860954057959,0.11420315974933873,0.10229098744638661,0.5889552488502826,0.04671976695361894,0.0026437053444196877,0.01834461126723807
