,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CAPZB,0.4852995,0.233224869592321,0.1718719285346185,0.1862970910324984,0.30200948229325925,0.29903048700347373,0.20865765173932846,0.15753129685725822,0.08215352222750966,0.23630023350091325,0.6779898214181654,0.3403620731987489,0.11044647406708274
CAPZA1,0.4722691,0.13356279992150544,0.1254863326172356,0.10525990035346441,0.0736298670256928,0.1616239103111061,0.059160874874274766,0.1776291107161494,0.05360472833721417,0.2190996506598422,0.3995273418123866,0.19410143602851995,0.09253307284372148
TPM3,0.57123584,0.2899644833836023,0.01956064494428384,0.0257971430853679,0.2220779313755046,0.17933337716062095,0.01281092112375261,0.10481686465787571,0.02332426663189991,0.024664043450479487,0.39271607873913883,0.19012264470286455,0.01884236544193735
TNNT2,0.8797382,2.71616674441165,2.852208013911095,0.0059569251396573925,0.002283848948516953,0.0044082330920981625,0.0010924776697360434,0.030007984013408567,0.020549413414204527,0.012093859093009309,0.006634076136459813,0.0007664105602983352,0.00019406190637601627
TNNI1,0.9096817,0.001850583326228185,0.0002557658778731008,4.217091086056641e-06,1.1692500183618204e-06,2.815953768703468e-06,7.533689113740122e-07,5.0979339523820694e-05,4.31369298158258e-05,1.4160926290453936e-05,4.068451373204511e-06,2.7585161800379168e-06,0.0
ACTA1,0.9221277,0.05379491124693008,0.40937761166606923,0.0025219392096058127,0.0007065438232418793,0.001888604137082818,0.0004708519360901467,0.0011992074598539742,0.0029786316713369424,0.0024246213373958323,0.0019940030322621078,0.00021762707400055053,0.00014610671178431236
ACTN2,0.88942546,1.8316229923406413,2.00175254558343,0.001955710966353881,0.00019486214085851918,0.0003686624949503129,0.00036365839756549614,0.01745067270386298,0.005929224753408625,0.005099362187053494,0.0018398596317721133,0.00012137708167087574,0.00019916777558829808
ACTG2,0.9562649,7.607903539159433e-06,1.8470461065372832e-06,5.653783815817885e-06,4.6655790173039955e-07,4.7122038411817955e-06,0.0022925463314921145,3.7660279514773796e-05,1.22613054161542e-05,1.8613932929241658e-05,9.33079770020974e-07,3.149216678422538e-07,1.6306130154208116e-05
ITGB6,0.84665227,0.00018106592744728415,0.0003210563620401132,3.1651458603646243e-06,2.0144893967861922e-07,5.503410372782398e-06,7.583061596011206e-07,3.8983759821842844e-05,2.518942591159573e-07,2.0569336273530928e-05,1.6579694649122683e-06,6.063549399531971e-07,0.0
XIRP2,0.9386871,0.08060535420802509,0.42156099267063674,0.0002846116600061317,0.0001051176223384215,0.0005403253562662133,4.859293452083877e-05,0.0011126683917435814,0.0012916660206901526,0.00112937929084381,0.000562740426890302,4.9294705255527046e-05,7.918478465697861e-05
MYL3,0.95429283,0.03866187593246296,0.9873640984957824,0.002497709052076827,0.000601603288691713,0.0016753063785293386,0.0006555044899809211,0.0016216030071226064,0.0035154811927682506,0.002102199388391787,0.0020842445041490717,0.0002604520438501611,5.9130658379002505e-05
DAG1,0.7651094,0.03838912840574855,0.06679138469243485,0.011206883685763521,0.004962808862235046,0.013612252796018447,0.004531986875731827,0.013793287983793296,0.1297870753431421,0.0318586287891769,0.004003202576781777,0.0008941020321194524,0.0009465535275368707
TNNC1,0.8252592,0.2809497129862358,0.3496982389166861,0.004719014705697541,0.0018142458833724318,0.00782554798604899,0.000967821664379836,0.02134222970780271,0.010116312950984549,0.0030318656145390025,0.005420331768982748,0.0004073509940635851,0.00011301047786370651
ITGB5,0.53006816,0.027069463936425345,0.038715133393956595,0.07705112207087425,0.03186158490953308,0.001587890151844982,0.012225580734550705,0.035305586871721896,0.005237607853006143,0.11139044470349052,0.08095455315716416,0.00012648515071429596,0.000545873594682923
SGCB,0.58123356,0.01168900311352814,0.017179170628598125,0.013848689744220452,0.013464965855122102,0.0023274175218633703,0.01241561844522536,0.010442058623626531,0.023149876787524972,0.009827421843413951,6.478278177397321e-05,0.00022637206023974076,2.6459842357388457e-05
ACTB,0.49720523,0.8203124175939269,0.6837776705287473,0.39410421854557426,1.7288168092693361,0.6613164047476868,0.5312123421931174,1.0123318607444005,0.28652201823797946,0.1465878678960877,1.2919916803656104,1.3570496151453229,0.010665893265188416
ITGB8,0.93617827,2.4086242950096858e-05,0.00015929433877117063,0.01114432111272929,1.3135350434133154e-05,0.008583382105735277,3.314005530676179e-05,0.13372905618645947,0.8403873436402713,0.005238444068515622,0.0018066979968755985,1.5873253701546054e-05,0.014686056747992362
DMD,0.75678897,3.2158229217893637,3.455337603354353,0.20891042587563774,0.002399640242675698,0.009481187481217403,0.28056586665760147,0.1008292863475002,0.6174184864865657,2.14493978457393,0.010530591641853337,0.00038381086658076824,0.007903234240047621
MYBPC3,0.9010842,2.574732581224795,3.055604567634535,0.001671839639652963,0.00030517269514138774,0.0003037592906749386,0.00037775198290372055,0.02835827454036435,0.007928860651982294,0.00850187344627717,0.0018527651335978152,0.00019013446777157354,7.934721123429163e-05
SPTBN2,0.6239846,0.0005113873564226019,0.0003272639274101791,0.00016707230128871632,4.232363907594036e-06,4.440736615289592e-06,6.360793094005164e-06,0.00022990574977424993,4.695769347648756e-05,0.00025225128689130796,6.00959329175123e-06,2.5033772926864e-06,4.1691575317979825e-05
ITGB1,0.43405494,0.36868906693619435,0.2884259919841203,0.24415611669511325,0.544425899326781,0.4525738999650285,0.540919662407493,0.20103122382763994,0.20626323886848008,0.38474964671986145,0.1716196539509752,0.1358267757370464,0.007392135653313082
VCL,0.65105706,0.648480356839224,0.880222695135469,0.12152854204544841,0.0660095685426058,0.037586910545135556,0.14856629162705118,0.08318638733906236,0.1705984924538767,0.37928204775344904,0.029522075702636603,0.008921112744730324,0.019296535400847647
ITGB7,0.98131907,3.8647465785156627e-07,1.4420120167335937e-06,2.0914297712281603e-06,8.564880490642978e-07,1.2423989855644785e-05,3.4272458268103136e-07,9.083313745857977e-08,8.701575496376047e-06,7.108652512879658e-05,0.00021641025864370495,0.01916594281415956,8.872382345831014e-07
MYH6,0.95099825,3.0397917592547032,0.4730439916941461,0.0024052321701461517,0.0006258681239177463,0.0006195839134882777,0.00023127784297969657,0.024103140537763613,0.015422633565271486,0.009532154829591882,0.002453889858461672,0.000188729215833963,0.00013618522433737968
MYH7,0.9563089,0.14501217633725325,2.047824627188842,0.00304061119215607,0.001638881554010182,0.002808687769768321,0.000746542954784985,0.0002994970925145253,0.007782209172903393,0.0036238498230966153,0.003891571919701691,0.0006341305365173844,0.00015828309654063684
ACTC1,0.8871452,1.8360102545633175,1.25919625285438,0.005492334762446274,0.0020819738595654566,0.0030572605409217154,0.0015207698918407392,0.05970304178086338,0.017889552729722417,0.00957157050922797,0.005800937012035575,0.0005549412639553786,0.00025369555031487696
THBS1,0.8550045,0.016564229192217783,0.027512533210362896,0.18368953127495075,0.001193298399958301,0.009527520139244992,0.00547130274290874,0.026509745316112956,0.01834278098273515,0.07313464086826194,0.6095223510640414,0.00114873697328468,0.002956447468470446
TPM1,0.727932,2.024680111030231,2.2413474348681413,0.05804751279331559,0.7140227412575575,0.06989171629246597,0.3571428555511226,0.5253246130532777,0.07325024172389158,0.026719661797240567,0.048109746126390886,0.002147740700369078,0.0031607449054718018
MYH11,0.8423526,0.03872077280275315,0.0004265158306071833,0.0026649702106277366,0.0009287306304850655,0.00124403937615483,0.06904173281261779,0.002043973235105047,0.008144738983528306,0.002734882837771543,0.00024547507359169935,0.0008559342171500865,0.0021524743628836425
MYH10,0.49912956,0.05646661423724939,0.035085711010969724,0.06587359065454469,0.011951567855544302,0.07833518406599185,0.006036938907651228,0.10474809234505457,0.01612069711372666,0.06413675316191103,0.000627150674744741,0.000652932957079043,0.02784943400494678
ITGB3,0.621512,0.00995210091790565,3.002172745313025e-05,0.0036181089831540097,0.000466727899208091,0.005933839842159315,0.0003434695180846334,0.0027827434277015693,0.00021128455467794423,0.0020164511728065116,0.00041433929144838924,5.197679814471138e-06,0.0002539172945508942
ITGB4,0.93650717,6.799770815750367e-05,1.3732869276897727e-05,3.07850834047126e-05,0.004238187811237874,0.04746951249115255,6.833932805510172e-06,0.0021443717188731385,0.19614074605355916,0.00028730249928924745,5.117470395068154e-06,3.3733379967249418e-06,4.20435177462846e-05
ACTG1,0.5737804,0.35385049072322206,0.48685428005110937,0.22931191494583086,1.1138725733649146,0.263012856129974,0.3289166569667607,0.6883994339768799,0.1749347945924469,0.05162332715604256,0.4505544118683169,0.6436245102301119,0.0026575165443399823
LAMA1,0.81244624,0.0003091120834286815,0.00019921161599953814,0.0014036553974434145,1.893041055643995e-05,5.341616376486524e-05,0.00014448178136903096,0.008003653963726426,0.00023255897902472075,0.0010971939195624219,3.782301036192527e-05,2.1693245403515844e-05,0.00044430665876887257
MYL9,0.7433416,0.8226041341040338,0.4593065130086146,0.030259694216507056,0.06717567108261337,0.007234068381740319,0.6590516511291568,0.14269000579415342,0.055983556141416965,0.05012112700725064,0.002454606772491387,0.00036842669254583967,0.00017419182411477943
TNNC2,0.7158379,5.20720055890307e-06,2.4971637604689287e-06,7.480325507934616e-05,9.248706339599448e-07,9.414111353946007e-06,7.061910933812174e-05,1.5148683296923608e-05,1.814451189028176e-05,0.00023895936350602136,2.150682964668733e-06,1.13269405388823e-06,1.618603452501333e-06
MYH14,0.8016911,0.09582830379774236,0.10564767823266306,0.0002597191449041442,2.52629964574925e-05,0.00012116932443210057,4.830847563588176e-05,0.002838746654248621,0.005235637456844739,0.043289722404330475,0.00012442799502301234,1.8881283875056438e-05,0.0002469826505770248
TNNI3,0.89006764,1.0783802620148535,1.592908845363619,0.005787224538403286,0.0022603294889372407,0.006997716518902871,0.0009465417311310847,0.013281444163399141,0.01385143348382917,0.005463783689252932,0.006166345897417421,0.0005308843936256053,0.0002847474995202396
MYH9,0.5017347,0.2992392906820981,0.2924691635594346,0.0779719731967541,0.512517938417725,0.24747634265413615,0.29755844326133624,0.12062610616747117,0.03186005194609851,0.07872374321281092,0.17296945393648772,0.2707168090908861,0.043779091679335795
