,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
CDC42,0.5190489,0.0467649342678889,0.04398836699323645,0.05180955557794513,0.35976968025971734,0.2540638338184725,0.07302953108291639,0.15293393190333385,0.05041171203960072,0.09642294498622107,0.29777546595146454,0.23376734935398344,0.020138025283813477
ITGA10,0.7380863,0.0013418924108477704,3.850017336576788e-05,0.001005741225926638,0.011975540429515751,0.0012161076068878173,0.001121267304369365,0.005434495582824173,0.004287503843120634,0.0012442744389112978,0.00011562637338444562,4.4042035134911456e-05,0.00012654319598555115
SHC1,0.870796,0.002182843636867671,0.00031687399401466145,0.005168961613797204,0.016648235062035194,0.15854114040904982,0.001513230621603305,0.009723516341471514,0.0010526862357748993,0.017006163176766002,0.0034790019573290227,0.0012667284722829857,6.643928088854921e-05
LAMC1,0.73042583,0.09156347582889718,0.09508615365629586,1.1125150480160204,0.06802752954140122,0.30172462242450493,0.09338470681891033,0.08075160318201402,0.36220553070891837,0.9141779658699368,0.009290232315033063,0.00021642532781688468,0.0005914298018377276
SOS1,0.6322723,0.30583078479780346,0.38135800402388614,0.14549600198783444,0.10745228894341285,0.17359566320323574,0.06329670181583787,0.142029244012165,0.11557112054517356,1.04264249173566,0.15279368777070726,0.18368163820149552,0.0467055967641533
ITGB6,0.84665227,0.00018106592744728415,0.0003210563620401132,3.1651458603646243e-06,2.0144893967861922e-07,5.503410372782398e-06,7.583061596011206e-07,3.8983759821842844e-05,2.518942591159573e-07,2.0569336273530928e-05,1.6579694649122683e-06,6.063549399531971e-07,0.0
ITGA6,0.8809934,0.00721278169983362,0.009083100658152914,0.00018612865456678291,0.5823168825937322,0.09053137647599327,9.777135894497621e-05,0.018231656476361862,0.05275787507180756,0.0433499245206371,0.002168544167927635,0.013316579115241539,0.0003473380046780535
ITGA4,0.92874485,1.415474973345537e-05,3.409765408386138e-06,4.144702771197778e-05,4.769583218501351e-06,0.0002467636249125234,0.0003871815500931119,0.0006779696468119364,0.0026718499850593136,0.0002994889615604553,0.020145244476550684,0.2773743601444588,0.034514461120784566
ITGAV,0.5360553,0.2243255039227946,0.37596081139551163,0.10508256446775102,0.051728564676216476,0.13019022172942585,0.009303978759505754,0.07353590224414021,0.1326844884491658,0.17167677713300705,0.05883380137559242,0.004511877386774319,0.011968365470847115
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
RHOA,0.5744079,0.024415632341275254,0.039775077675314754,0.112864896284537,0.5569049002475999,0.27379810589160697,0.09893894304060312,0.16374663711158083,0.09105574865061795,0.1837315844497813,0.47372713032381886,0.19334560944098222,0.021749747407417072
ITGB5,0.53006816,0.027069463936425345,0.038715133393956595,0.07705112207087425,0.03186158490953308,0.001587890151844982,0.012225580734550705,0.035305586871721896,0.005237607853006143,0.11139044470349052,0.08095455315716416,0.00012648515071429596,0.000545873594682923
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
PDGFRA,0.9581101,2.8968611997661046e-05,3.63005853758285e-06,0.3200499994364234,4.681268172436833e-05,0.0008376506592316056,8.677933337681482e-05,0.00842798093832543,0.005168905231355721,0.009619585102667897,7.455084231380301e-05,1.2265136578286136e-05,3.261569308401505e-05
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
