,tau,expected_Atrial Cardiomyocyte,expected_Ventricular Cardiomyocyte,expected_Fibroblast,expected_Endothelial cell,expected_Lymphatic Endothelial cell,expected_Mural cell,expected_Mesothelial cell,expected_Neural cell,expected_Adipocyte,expected_Myeloid,expected_Lymphoid,expected_Mast cell
PIK3R3,0.92691445,0.037699275928582146,0.006733275140552602,0.00047409962369595547,0.36863849352423284,0.013311022393491734,0.0002265172845416517,0.00365136939478913,0.0006946021177907502,0.001342566954759945,0.0038756706449048356,0.0003470032985683391,0.0001399955600178441
MAPKAPK2,0.6338252,0.27948603495487767,0.2383534898393387,0.027972648919269837,0.017954599459150174,0.024117676562784258,0.014508478514519686,0.03798548018695503,0.00811797062261916,0.07703018025073251,0.04685230566189345,0.0216087284392161,0.004900701331950753
RAF1,0.4998636,0.4251440942711978,0.3667863740736496,0.09927511191960457,0.0386751233049275,0.0705597318967797,0.055175709091640164,0.07292167705641453,0.08834854442523851,0.2200598072137948,0.10829475583354387,0.036178163742236556,0.053817638434787346
PIK3CA,0.44200075,0.07052796398146308,0.046196798130047095,0.08621598779993277,0.030324176843141603,0.08386157596893752,0.05604282861371701,0.055051050523371774,0.04384290145013096,0.1665701975836723,0.071831236425546,0.02482255601931246,0.1203070840382666
KDR,0.84478015,3.7002209152656582e-06,1.6692103392710554e-06,5.607791735419739e-05,0.15447418266618884,0.147148903709581,3.3658581208764116e-05,0.09610380935804282,6.922133260175059e-05,0.00015812703281082243,2.7019922850711556e-05,5.840854979372887e-06,1.8886750623286257e-05
PIK3R1,0.46614665,0.3502247146589433,0.7648163179665918,0.27620319313902997,0.009186746598180676,0.054441404641825265,0.02004043788816818,0.11710251209413317,0.4448682892830197,0.6833940245738194,0.28496192425764116,0.29277646767367005,0.2088555137144831
PTK2,0.3435817,0.5571818967772352,0.5126059166792899,0.5116697544544015,0.26872962115858035,0.5364340666178111,0.4829555846942427,0.3859880460019143,0.613455614342282,0.6095284473732623,0.16327965833275396,0.001643349384042513,0.1519009517902821
HRAS,0.6538075,0.000487851624127095,0.0007085249505366321,0.0008618577958321193,0.012328172992569454,0.009292221259196293,0.003270699683638333,0.005265849639812277,0.001564083510643584,0.0009027888635368596,0.0015146284409547424,0.0013642708668762567,7.07504650627158e-05
KRAS,0.501014,0.010065461726774541,0.010023004913153805,0.014965668136192494,0.07067003939877961,0.05505302845281063,0.006726808432625798,0.02978444279875525,0.010938068115433982,0.021553050345729914,0.057984769031389806,0.03580944551724931,0.006057737504734712
MAPK3,0.80768067,0.00013235338492805147,4.4365286663784866e-05,0.004785876978976824,0.0760014229729839,0.022656318948075578,0.0051008765875598504,0.026985967226939713,0.0020058545849630026,0.0017390272993731166,0.0036126601022266106,0.0006812195422231132,6.612330470063272e-05
PLCG2,0.5145212,0.410552379332569,0.1465112083041107,0.3291766680671565,0.15020444214486797,0.7679462242310572,0.019776022061937102,0.09423711052906321,0.1677758059304346,0.4753365260476256,0.34869355441637245,0.15403036923519864,0.27236757333768874
SRC,0.6638064,0.0008437042940143551,0.00010269862017026574,0.004566531594883013,8.12090148067235e-06,0.0004743388577087505,0.0017637880787139547,0.003250582349841732,0.0066238358679835945,0.004651689111050121,0.0040311192498854115,6.246527026265193e-05,3.914607018312762e-05
PLCG1,0.46010226,0.006169028655974971,0.0070472486136274794,0.010699035390336686,0.02027313776430687,0.01875265003631474,0.006554628771209501,0.003745730028839301,0.007004394862891972,0.017983773427721797,0.0003549855975224471,0.004246561284356454,0.004509062363016753
RAC2,0.9499973,2.539392250668389e-07,3.499952300214507e-07,1.72961481140324e-06,3.7139976324707528e-06,2.815792854860943e-05,4.157502201401637e-07,0.00018220085231278907,1.0398751472403406e-05,1.3599334009096194e-05,0.02095181791751688,0.2153397616796897,0.012886647374258129
